id,videoId,tempo,keyScale,danceability,title,artist,thumbnail,releaseDate,lyrics,duration,createdAt,updatedAt
1,sQ3esGuxPFg,101,A#,,주를 더욱 사랑 JESUS I LOVE YOU MORE,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/icS4wtdgVuv-C0wX5Gblf414n16NwNLdIEFE2qXuRTHHwoRgxOPFcrTxHsL1MYlAB7eGhVY606bhLlMeBA=w120-h120-l90-rj,2024-01-25,갈보리 십자가 드높이 섰도다 존귀하신 어린 양 하나님의 능력 하나님의 지혜 예수 십자가 사랑 이해할 수 없는 죽음 뒤에 승리 그리스도 생명의 반석 주를 더욱 사랑 아름다우신 주 온 맘 다해 온 힘 다해 모두 드리리 주를 더욱 사랑 아름다우신 주 온 맘 다해 온 힘 다해 주를 경배해 갈보리 십자가 드높이 섰도다 존귀하신 어린 양 하나님의 능력 하나님의 지혜 예수 십자가 사랑 이해할 수 없는 죽음 뒤에 승리 그리스도 생명의 반석 주를 더욱 사랑 아름다우신 주 온 맘 다해 온 힘 다해 모두 드리리 주를 더욱 사랑 아름다우신 주 온 맘 다해 온 힘 다해 주를 경배해 최후 승리를 얻기까지 주의 십자가 사랑하리 빛난 면류관 받기까지 험한 십자가 붙들겠네,398,,
2,OyPlxLePdDc,82,G,,주를 찾는 모든 자들이 (시편 70편) Those Who Seek the Lord,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/nfBH0u63Vpco3Zt5W7IsSlM39zX3B1MJd5JV3rZMfLU1c8eokmi8C3nvvcXdzmd83wBYK4Ler5ofoDfPLA=w120-h120-l90-rj,2023-11-01,주를 찾는 모든 자들이 주로 말미암아 기뻐하고 즐거워하게 하시며 주의 구원을 사랑하는 자들이 항상 말하기를 하나님은 위대하시다 하게 하소서 주를 찾는 모든 자들이 주로 말미암아 기뻐하고 즐거워하게 하시며 주의 구원을 사랑하는 자들이 항상 말하기를 하나님은 위대하시다 하게 하소서 주는 나의 도움 나를 건지시는 이 여호와여 지체 말고 내게 임하소서 가난하고 궁핍한 내 마음 가운데 여호와여 속히 임하소서 주를 찾는 모든 자들이 주로 말미암아 기뻐하고 즐거워하게 하시며 주의 구원을 사랑하는 자들이 항상 말하기를 하나님은 위대하시다 하게 하소서 주는 나의 도움 나를 건지시는 이 여호와여 지체 말고 내게 임하소서 가난하고 궁핍한 내 마음 가운데 여호와여 속히 임하소서 주는 나의 도움 나를 건지시는 이 여호와여 지체 말고 내게 임하소서 가난하고 궁핍한 내 마음 가운데 여호와여 속히 임하소서 주는 나의 도움 나를 건지시는 이 여호와여 지체 말고 내게 임하소서 가난하고 궁핍한 내 마음 가운데 여호와여 속히 임하소서 주는 나의 도움 나를 건지시는 이 여호와여 지체 말고 내게 임하소서 가난하고 궁핍한 내 마음 가운데 여호와여 속히 임하소서 여호와여 속히 임하소서 여호와여 속히 임하소서,249,,
3,TtH4qHWdTto,122,F,,함께 지어져 가네 Being Built Together,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/_8A8OnHl9dwdjAJyFic5Yr7rG4gY6-H1Obu7Mr77caxjy-o07BW-Bih3K__drzIkFgCoNOMBOq7K_rrl=w120-h120-l90-rj,2023-10-23,우리는 하나님의 자녀 주 사랑 안에 우리 거할 때 주님 나를 사랑하신 것 같이 우리도 서로 사랑할 수 있네 우리는 주의 몸 된 교회 모든 지체가 하나될 때 예수님의 마음을 닮아가며 고통과 즐거움 함께 나누네 하나님 안에서 우리 서로 이어져 주가 거하실 성전이 되네 모퉁잇돌 되신 예수와 하나 되게 하신 성령 안에 함께 지어져 가네 우리는 하나님의 자녀 주 사랑 안에 우리 거할 때 주님 나를 사랑하신 것 같이 우리도 서로 사랑할 수 있네 우리는 주의 몸 된 교회 모든 지체가 하나될 때 예수님의 마음을 닮아가며 고통과 즐거움 함께 나누네 하나님 안에서 우리 서로 이어져 주가 거하실 성전이 되네 모퉁잇돌 되신 예수와 하나 되게 하신 성령 안에 함께 지어져 가네 하나님 안에서 우리 서로 이어져 주가 거하실 성전이 되네 모퉁잇돌 되신 예수와 하나 되게 하신 성령 안에 함께 지어져 가네 모퉁잇돌 되신 예수와 하나 되게 하신 성령 안에 함께 지어져 가네 하나님 안에서 우리 서로 이어져 주가 거하실 성전이 되네 모퉁잇돌 되신 예수와 하나 되게 하신 성령 안에 함께 지어져 가네 하나님 안에서 우리 서로 이어져 주가 거하실 성전이 되네 모퉁잇돌 되신 예수와 하나 되게 하신 성령 안에 함께 지어져 가네,351,,
4,VeuP0yejeYM,120,F,,나 주님을 모른다 하여도 His Faithfulness,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/FLHpN6cps3PMdkDxwOWS7JAyKl3i55b5G2Am-WuNIF5KgwCKCRhw72Rkczo5f2AuDLwoF8pCK5TMWdyH=w226-h226-l90-rj,2024-04-05,주의 사랑 항상 내 곁에 머무시네 나 주님을 모른다 하여도 주의 사랑 또 나를 믿어주시네 나 주님을 모른다 하여도 주의 사랑 항상 내 곁에 머무시네 나 주님을 모른다 하여도 주의 사랑 또 나를 믿어주시네 나 주님을 모른다 하여도 고백합니다 주를 사랑합니다 온 마음 다하여 주를 사랑합니다 엎드립니다 주를 경배합니다 신실한 그 사랑으로 나를 채워주소서  주의 사랑 항상 내 곁에 머무시네 주님만이 피난처 되시네 주의 사랑 또 나를 믿어주시네 주님만이 내 소망되시네 고백합니다 주를 사랑합니다 온 마음 다하여 주를 사랑합니다 엎드립니다 주를 경배합니다 신실한 그 사랑으로 나를 채워주소서  고백합니다 주를 사랑합니다 온 마음 다하여 주를 사랑합니다 엎드립니다 주를 경배합니다 신실한 그 사랑으로 나를 채워주소서  주의 사랑 날 포기치 않네 변함없으신 그 사랑 나도 주님을 놓지 않겠네 부족한 입술로 주 찬양하리라 주의 사랑 날 포기치 않네 변함없으신 그 사랑 나도 주님을 놓지 않겠네 부족한 입술로 주 찬양하리라 고백합니다 주를 사랑합니다 온 마음 다하여 주를 사랑합니다 엎드립니다 주를 경배합니다 신실한 그 사랑으로 나를 채워주소서  주의 사랑 날 포기치 않네 변함없으신 그 사랑 나도 주님을 놓지 않겠네 부족한 입술로 주 찬양하리라 고백합니다 주를 사랑합니다 온 마음 다하여 주를 사랑합니다 엎드립니다 주를 경배합니다 신실한 그 사랑으로 나를 채워주소서  고백합니다 주를 사랑합니다 온 마음 다하여 주를 사랑합니다 엎드립니다 주를 경배합니다 신실한 그 사랑으로 나를 채워주소서  고백합니다 주를 사랑합니다 온 마음 다하여 주를 사랑합니다 엎드립니다 주를 경배합니다 신실한 그 사랑으로 나를 채워주소서,460,,
5,W1uussHIX9o,118,G,,영접송 (내 맘을 엽니다) Invitation,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/tNkKREZHHYkeO_0pE61NhUhKD3lRCmnx6TJPSasEJxfkA6v7_Ll-CI3VTLOz5GtViMbMARuaIOBqw5t-ow=w120-h120-l90-rj,2023-05-04,사랑의 예수님 나를 찾아오셔서 십자가로 대속 하사 내 마음 두드리네 오 사랑의 예수님 지금 내 맘을 엽니다 내 안에 거하셔서 나의 생명 되소서 사랑의 예수님 나를 찾아오셔서 십자가로 대속 하사 내 마음 두드리네 오 사랑의 예수님 지금 내 맘을 엽니다 내 안에 거하셔서 나의 생명 되소서 사랑의 예수님 나를 찾아오셔서 십자가로 대속 하사 내 마음 두드리네 오 사랑의 예수님 지금 내 맘을 엽니다 내 안에 거하셔서 나의 생명 되소서 사랑의 예수님 나를 찾아오셔서 십자가로 대속 하사 내 마음 두드리네 오 사랑의 예수님 지금 내 맘을 엽니다 내 안에 거하셔서 나의 생명 되소서 사랑의 예수님 나를 찾아오셔서 십자가로 대속 하사 내 마음 두드리네 오 사랑의 예수님 지금 내 맘을 엽니다 내 안에 거하셔서 나의 생명 되소서 사랑의 예수님 나를 찾아오셔서 십자가로 대속 하사 내 마음 두드리네 오 사랑의 예수님 지금 내 맘을 엽니다 내 안에 거하셔서 나의 생명 되소서,269,,
6,YHOJGBVxiD4,132,A,,그리스도 안에서 In Christ,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/QXn4PGLmQS57zpyYq6b0YM0Std1cg-fVKQVaj5x4rdpj00Ck7KJlbVRCNHTBpiL6JVeQO_Bh26mD6yo=w120-h120-l90-rj,2022-07-19,창세 전에 그리스도 안에서 사랑으로 우리를 택하시고 주님의 그 사랑 안에서 거룩하고 흠이 없게 하셨네 주님의 값없는 은혜의 영광을 찬송케 하시려 하나님이 사랑하시는 자 안에서 그 생명을 거저 주셨네 우리는 그리스도 안에서 은혜의 풍성함 따라 그의 피로 말미암아 죄 사함 받았네 그 기쁘신 뜻대로 우리를 예정하사 주 예수로 말미암아 자녀가 되었네 창세 전에 그리스도 안에서 사랑으로 우리를 택하시고 주님의 그 사랑 안에서 거룩하고 흠이 없게 하셨네 주님의 값없는 은혜의 영광을 찬송케 하시려 하나님이 사랑하시는 자 안에서 그 생명을 거저 주셨네 우리는 그리스도 안에서 은혜의 풍성함 따라 그의 피로 말미암아 죄 사함 받았네 그 기쁘신 뜻대로 우리를 예정하사 주 예수로 말미암아 자녀가 되었네 우리는 그리스도 안에서 은혜의 풍성함 따라 그의 피로 말미암아 죄 사함 받았네 그 기쁘신 뜻대로 우리를 예정하사 주 예수로 말미암아 자녀가 되었네 주님의 뜻을 우리게 보여주셨네 그의 사랑으로 날 건지셨네 모든 만물이 주 예수 안에서 연합되네 우리는 그리스도 안에서 은혜의 풍성함 따라 그의 피로 말미암아 죄 사함 받았네 그 기쁘신 뜻대로 우리를 예정하사 주 예수로 말미암아 자녀가 되었네 우리는 그리스도 안에서 은혜의 풍성함 따라 그의 피로 말미암아 죄 사함 받았네 그 기쁘신 뜻대로 우리를 예정하사 주 예수로 말미암아 자녀가 되었네,367,,
7,tmzMdyVKOZY,139,F,,너 두려워 말라 (시편 42편) Do Not be Afraid (Psalm 42),팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/VDWJMRpTQ8dH0e5b7_trNOUnAGf30nStyPLUy9qMOw9W0EWX220h4e1NaPZTavMjVm0mqbPKPFwzsqU=w120-h120-l90-rj,2023-01-10,내 영혼아 네가 어찌하여 낙심하며 어찌하여 내 속에서 불안해하는가 내 영혼아 네가 어찌하여 낙심하며 어찌하여 내 속에서 불안해하는가 너는 하나님께 소망을 두라 그가 나타나 도우심으로 너는 여전히 주님을 찬송할지어다 너 두려워 말라 내 영혼아 잠잠히 주님만 바라보라 내 소망이 그로부터 나오는도다 너는 하나님께 소망을 두라 그가 나타나 도우심으로 너는 여전히 주님을 찬송할지어다 할렐루야 주님을 송축하라 할렐루야 널 위해 싸우시리 할렐루야 주의 찬양 부를 때 할렐루야 그의 구원을 보라 너는 하나님께 소망을 두라 그가 나타나 도우심으로 너는 여전히 주님을 찬송할지어다 너는 하나님께 소망을 두라 그가 나타나 도우심으로 너는 여전히 주님을 찬송할지어다 너 두려워 말라 너 두려워 말라 내 영혼아 너는 하나님께 감사하라 선하신 주 그 인자가 영원함이로다 내 영혼아 너는 하나님께 감사하라 선하신 주 그 인자가 영원함이로다,348,,
8,Fii5b6zvM6o,125,G,,주께 붙들립니다 Held in Your Hands,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/2osi_DnLwzplPRte96-Ld7Lw2XtrnbHvZGVMMcib2hpN_yjmsNFY3JAYTfPz90O3ZW5gTfE6QEuuF9eO=w120-h120-l90-rj,2022-05-18,나의 갈 길이 멀고 어둠 깊을 때 주의 빛 비추사 인도하시네 선하신 그 목소리 내 귓가에 들리니 내 삶이 주의 손에 붙들립니다 주의 사랑의 빛 내 맘에 비칠 때 나의 슬픔 변해 노래가 되네 거친 풍랑 속에도 큰 믿음 주시니 내 영이 주의 나라 바라봅니다 사랑합니다 주 경배합니다 주 앞에 엎드려 내 옥합을 깨뜨리네 주 나의 모든 것 내 삶의 눈물 흘릴 때도 존귀한 주의 이름 내 기쁨 됩니다 의지합니다 날 받으옵소서 어둔 밤 지나 밝은 아침에 주의 얼굴 뵈오리 선하신 나의 목자 내게 부족함 없네 주의 길을 따라 늘 함께 걷겠네 나의 갈 길이 멀고 어둠 깊을 때 주의 빛 비추사 인도하시네 선하신 그 목소리 내 귓가에 들리니 내 삶이 주의 손에 붙들립니다 주의 사랑의 빛 내 맘에 비칠 때 나의 슬픔 변해 노래가 되네 거친 풍랑 속에도 큰 믿음 주시니 내 영이 주의 나라 바라봅니다 사랑합니다 주 경배합니다 주 앞에 엎드려 내 옥합을 깨뜨리네 주 나의 모든 것 내 삶의 눈물 흘릴 때도 존귀한 주의 이름 내 기쁨 됩니다 의지합니다 날 받으옵소서 어둔 밤 지나 밝은 아침에 주의 얼굴 뵈오리 선하신 나의 목자 내게 부족함 없네 주의 길을 따라 늘 함께 걷겠네 사랑합니다 주 경배합니다 주 앞에 엎드려 내 옥합을 깨뜨리네 주 나의 모든 것 내 삶의 눈물 흘릴 때도 존귀한 주의 이름 내 기쁨 됩니다 의지합니다 날 받으옵소서 어둔 밤 지나 밝은 아침에 주의 얼굴 뵈오리 선하신 나의 목자 내게 부족함 없네 주의 길을 따라 늘 함께 걷겠네 사랑합니다 주 경배합니다 주 앞에 엎드려 내 옥합을 깨뜨리네 주 나의 모든 것 내 삶의 눈물 흘릴 때도 존귀한 주의 이름 내 기쁨 됩니다 의지합니다 날 받으옵소서 어둔 밤 지나 밝은 아침에 주의 얼굴 뵈오리 선하신 나의 목자 내게 부족함 없네 주의 길을 따라 늘 함께 걷겠네 선하신 나의 목자 내게 부족함 없네 주의 길을 따라 늘 함께 걷겠네 선하신 나의 목자 내게 부족함 없네 주의 길을 따라 늘 함께 걷겠네 사랑합니다 주 경배합니다 주 앞에 엎드려 내 옥합을 깨뜨리네 주 나의 모든 것 내 삶의 눈물 흘릴 때도 존귀한 주의 이름 내 기쁨 됩니다 의지합니다 날 받으옵소서,466,,
9,fZXFfEKlRSo,108,G,,"선하신 나의 주 My Lord, You Are Good",팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/pkDtK3zadNWM1csPg0Z9UEZfVAyFX4-hb7Q7BiOLuUzN_N201ZceP7cgcIovJPz_w81INVm4V_P9ucznXQ=w120-h120-l90-rj,2022-12-29,선하신 나의 주 주 항상 내 안에 계셔서 어둠을 밀어내사 오늘도 새 노래 주시네 나 서있는 이곳은 여전히 소망 없다 하나 내 주 예수 친히 예비하신 하나님 나라 바라보네 찬양해 만왕의 왕 그의 나라 영원하도다 경배해 만유의 주 예수 복되신 구세주 찬양해 선하신 나의 주 주 항상 내 안에 계셔서 어둠을 밀어내사 오늘도 새 노래 주시네 나 서있는 이곳은 여전히 소망 없다 하나 내 주 예수 친히 예비하신 하나님 나라 바라보네 찬양해 만왕의 왕 그의 나라 영원하도다 경배해 만유의 주 예수 복되신 구세주 찬양해 찬양해 만왕의 왕 그의 나라 영원하도다 경배해 만유의 주 예수 복되신 구세주 찬양해 주 사랑 영원하고 주 은혜 끝이 없네 온 만물아 크게 선포하라 온 백성 구속하신 왕께 주 사랑 영원하고 주 은혜 끝이 없네 온 만물아 크게 선포하라 그 이름 큰 소리 높여 찬양해 만왕의 왕 그의 나라 영원하도다 경배해 만유의 주 예수 온 세상 다스리네 그 영광 다 찬양해 만왕의 왕 그의 나라 영원하도다 경배해 만유의 주 예수 복되신 구세주 찬양해 경배해 만유의 주 예수 복되신 구세주 찬양해 복되신 구세주 찬양해,258,,
10,95OWKqospxI,106,D,,꿈꾸는 자를 위한 축복송 Team Luke blessing song,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/tNkKREZHHYkeO_0pE61NhUhKD3lRCmnx6TJPSasEJxfkA6v7_Ll-CI3VTLOz5GtViMbMARuaIOBqw5t-ow=w120-h120-l90-rj,2023-05-04,하나님 주신 열방을 치유하는 거룩한 꿈을 꾸는 당신은 세상이 감당치 못할 믿음의 사람입니다 하나님 주신 열방을 치유하는 거룩한 꿈을 꾸는 당신은 세상이 감당치 못할 믿음의 사람입니다 하나님 주신 열방을 치유하는 거룩한 꿈을 꾸는 당신은 세상이 감당치 못할 믿음의 사람입니다,122,,
11,NgLyYPnDSf0,155,B,,끝까지 남겠네 The Justice Song,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/l6M1d1ZVeMX3ZB_YOh4DC50wYpJTPywcSL4kBvSAYGkXtCFIvQxlpY_N4sWjSjEpKgJg1aXiv6ggvXvi=w120-h120-l90-rj,2023-11-15,우린 이곳에 끝까지 남겠네 주의 보호하심 우릴 통해 이뤄지네 우린 이곳에 끝까지 남겠네 주의 보호하심 우릴 통해 이뤄지네 주의 공의 하늘로부터 온 땅을 가득 채우고 주의 공의 강같이 흘러 자유를 얻게 하시네 주를 위해 나의 삶을 드릴 때 어둠 속에서 주님의 빛 보리라 주의 공의 하늘로부터 온 땅을 가득 채우고 주의 공의 강같이 흘러 자유를 얻게 하시네 주의 공의 하늘로부터 온 땅을 가득 채우고 주의 공의 강같이 흘러 자유를 얻게 하시네 모두 알게 되리 모두 알게 되리 모두 알게 되리 주의 공의 모두 알게 되리 모두 알게 되리 모두 알게 되리 주의 공의 모두 선포하리 모두 선포하리 모두 선포하리 주의 공의 모두 선포하리 모두 선포하리 모두 선포하리 주의 공의 주의 공의 하늘로부터 주의 공의 하늘로부터 온 땅을 가득 채우고 주의 공의 강같이 흘러 자유를 얻게 하시네 주의 공의 하늘로부터 온 땅을 가득 채우고 주의 공의 강같이 흘러 자유를 얻게 하시네 우린 이곳에 끝까지 남겠네 주의 보호하심 우릴 통해 이뤄지네,247,,
12,564xjMYwiAg,126,D,,여정 Journey,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/rHh-fAN-oT8OX_G72UBjWghjzCfaM92DvYuA7WUa80ZyAwicPKXut66ntna8_oifp3kESVHbB7x5GeY=w120-h120-l90-rj,2021-04-12,내 삶의 모든 호흡이 주를 향한 노래가 되어서 영화로운 그 보좌 앞에 영원히 아름다운 예배되기를 원하네 나의 흘린 모든 눈물과 주가 주신 한없는 은혜가 하나님의 어린양 앞에 드리기 합당한 제사 되기를 원하네 내 발이 그의 길 위에 내 영이 그의 품 안에 내 눈이 그의 보좌에 그 영광에 그 나라에 하나님 나라 임하고 생명의 강물 흐를 때 내 영이 주의 얼굴 보리니 내 삶의 모든 호흡이 주를 향한 노래가 되어서 영화로운 그 보좌 앞에 영원히 아름다운 예배되기를 원하네 나의 흘린 모든 눈물과 주가 주신 한없는 은혜가 하나님의 어린양 앞에 드리기 합당한 제사 되기를 원하네 내 발이 그의 길 위에 내 영이 그의 품 안에 내 눈이 그의 보좌에 그 영광에 그 나라에 하나님 나라 임하고 생명의 강물 흐를 때 내 영이 주의 얼굴 보리니 내 발이 그의 길 위에 내 영이 그의 품 안에 내 눈이 그의 보좌에 그 영광에 그 나라에 하나님 나라 임하고 생명의 강물 흐를 때 내 영이 주의 얼굴 보리니 예수 나를 오라 하네 예수 나를 오라 하네 어디든지 주를 따라 주와 같이 같이 가려네 주의 인도하심 따라 주의 인도하심 따라 어디든지 주를 따라 주와 같이 같이 가려네 내 발이 그의 길 위에 내 영이 그의 품 안에 내 눈이 그의 보좌에 그 영광에 그 나라에 하나님 나라 임하고 생명의 강물 흐를 때 내 영이 주의 얼굴 보리니 내 발이 그의 길 위에 내 영이 그의 품 안에 내 눈이 그의 보좌에 그 영광에 그 나라에 하나님 나라 임하고 생명의 강물 흐를 때 내 영이 주의 얼굴 보리니 내 삶의 모든 호흡이 주를 향한 노래가 되어서 영화로운 그 보좌 앞에 영원히 아름다운 예배되기를 원하네 예배되기를 원하네,444,,
13,1PldxiT4bro,122,F,,탕자의 고백 Confession of the Prodigal,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/Pvp7oFG1XufAomLHd5OQJUI8Lu-G6qBhxoNnQBIwWgpa3qaaQpOZgczEPkU_6FpOnEhkTeIljDJ7U-M=w120-h120-l90-rj,2022-04-06,사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 자격 없는 자 주님 앞에 나아갑니다 예수 십자가 보혈 앞에 엎드립니다 사랑한다는 고백조차 부끄럽습니다 그런 제가 주를 찬양합니다 자격 없는 자 주님 앞에 나아갑니다 예수 십자가 보혈 앞에 엎드립니다 사랑한다는 고백조차 부끄럽습니다 그런 제가 주를 찬양합니다 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑하는 자 너는 내게 나아오너라 내 보혈의 피 너를 덮어 사하였노라 사랑한다는 고백만을 기다렸단다 변함없이 너를 사랑한단다 사랑하는 자 너는 내게 나아오너라 내 보혈의 피 너를 덮어 사하였노라 사랑한다는 고백만을 기다렸단다 변함없이 너를 사랑한단다 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 찬양합니다 예수님 찬양합니다 내 주님 찬양합니다 예수님 찬양합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님 사랑합니다 예수님 사랑합니다 내 주님,404,,
14,Etw14_tHknM,116,D,,우리의 사랑이 마주할 때 When our hearts collide,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/F9c4m8SiYsMzsMrHwag6cusu8_HXMC6SySJJEDYfE307ZrUab3o3eQsCvdlKGB44T4Mzz6ZLJKPEf8s=w226-h226-l90-rj,2021-05-13,하늘에 노래가 울려 퍼지네 나를 향한 당신의 사랑의 고백 나의 사랑 나의 어여쁜 자야 일어나 함께 가자 말씀하시네 나 노래하네 당신의 사랑 안에 나 잠기네 당신의 넓은 품에 편히 안기네 그 사랑 안에서 나 편히 쉬네 주 은혜 나를 덮네 당신은 내 기쁨 내 노래 되시네 그 사랑 형언할 수 없네 십자가의 그늘 안에 나 거하네 겨울은 지나고 비구름 걷히네 새들이 노래하는 이곳에 나 돌아와 노래하네 당신은 내 기쁨 참 의미 되었네 그 사랑 영원한 시간에 노래하네 그 사랑 안에 나 잠기네 하늘에 노래가 울려 퍼지네 나를 향한 당신의 사랑의 고백 나의 사랑 나의 어여쁜 자야 일어나 함께 가자 음- 나 노래하네 당신의 사랑 안에 나 잠기네,265,,
15,dXiIyrdK_is,122,A#,,한결같구나 Always there,팀룩워십 (Team Luke Worship),https://lh3.googleusercontent.com/bmUtmKj8hhxzOn9_7Bbk0rY4SlAhDxvb1ueRby7EWzQVHeZiYiYqx9oECAZjzq_YwC1dpobU6tzJAy4AlQ=w120-h120-l90-rj,2021-04-07,사랑은 멀잖구나 내가 등 돌려 멀리 와도 당신의 사랑은 늘 가까웠네 사랑은 쉽잖구나 내가 눈을 돌림에도 당신의 사랑은 하염없이 날 향했네 허나 나는 어리석고 유약하여 당신이 날 사랑하듯이 당신을 사랑할 수는 없구나 그럼에도 묵묵히 날 사랑하시네 눈물지으실지언정 날 사랑하시네 그럼에도 잠잠히 날 기다리시네 한결같은 사랑으로 날 사랑하시네 사랑은 참 깊구나 내 죄를 덮으시는 사랑 당신은 오늘도 날 믿어주시네 사랑은 참 깊구나 날 기다리시는 사랑 오직 당신만 나를 끌어안아주시네 허나 나는 어리석고 유약하여 당신이 날 사랑하듯이 당신을 사랑할 수는 없구나 그럼에도 묵묵히 날 사랑하시네 눈물지으실지언정 날 사랑하시네 그럼에도 잠잠히 날 기다리시네 한결같은 사랑으로 날 사랑하시네 계절이 변해도 한결같구나 먼저 날 사랑하신 분 그는 내 아버지시네 사랑은 멀잖구나 내가 등 돌려 멀리 와도 당신의 사랑은 늘 가까웠네 사랑은 쉽잖구나 내가 눈을 돌림에도 당신의 사랑은 하염없이 날 향했네 당신의 사랑은 한결같이 날 향했네,252,,
16,_GuAZrij128,128,D,,어둠을 찢으신 빛,WELOVE,https://lh3.googleusercontent.com/zcSbbx0D0KlrUNj29GIwicjmmcKLtcZBxd4ZIWmkbEodnA5Cgi34rVbhdpcxG30qjGmHFZt8AACtMDbMBA=w120-h120-l90-rj,2021-11-05,어둠을 찢으신 한 줄기 빛이 우리게 임했네 그 아름다움이 영원한 나라에 우릴 초대하네 그 아름다움에 우리 살아가네 이미 완성하고 이루실 당신의 영광 하나님 나라 우리 모두 함께 이뤄낼 주의 나라 영원한 교제에 우릴 초대하네 당신이 밝히신 그 나라 안에서 영원한 교제에 우릴 초대하네 당신이 밝히신 그 나라 안에서 사랑이 찾아오지 못할 것 같던 곳 빛이 절대 발하지 못할 것 같던 곳 지치지 않는 그 사랑이 찾아내 밝히시네 사랑이 찾아오지 못할 것 같던 곳 빛이 절대 발하지 못할 것 같던 곳 지치지 않는 그 사랑이 찾아내 밝히시네 영원한 교제에 우릴 초대하네 당신이 밝히신 그 나라 안에서 영원한 교제에 우릴 초대하네 당신이 밝히신 그 나라 안에서 영원한 교제에 우릴 초대하네 당신이 밝히신 그 나라 안에서 영원한 교제에 우릴 초대하네 당신이 밝히신 그 나라 안에서 사랑이 찾아오지 못할 것 같던 곳 빛이 절대 발하지 못할 것 같던 곳 지치지 않는 그 사랑이 찾아내 밝히시네,414,,
17,6Xdy8I6aGpg,129,C,,입례 (예배하는 자 되어),WELOVE,https://lh3.googleusercontent.com/BLjOCEYc0ln9xdjAHBQsvNmG8RltaHKNzul3QrIyt-m2mdHtXShCU9WHOFGhGZG6fMlJ_QJq_FUdbTPxKQ=w120-h120-l90-rj,2021-07-16,우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라 우리 모두 예배하는 자 되어 온전히 영과 진리로 주를 예배하자 주가 우리와 함께 영원히 함께 하시고 마르지 않는 샘물로 우릴 채우시리라,423,,
